"","Station_Name","total_heritage","residential","suitable","LGA_NAME23"
"209","Clifton Hill",0.883646358222629,0.91636551368095,0.921116833830306,"Yarra"
"210","Mentone",0.00936073059360731,0.00635647088736334,0.00550812448361333,"Kingston (Vic.)"
"211","Willison",0.375561797752809,0.381601857225769,0.383424408014572,"Boroondara"
"212","Flemington Racecourse",0.278052805280528,0.274715660542432,0.28952380952381,"Melbourne"
"213","Ascot Vale",0.372415219189413,0.371836925960637,0.375968023982014,"Moonee Valley"
"214","Diggers Rest",0.00323974082073434,0.00359066427289048,0.00193050193050193,"Melton"
"215","Glenroy",0.00496224379719525,0.00335490055116223,0.00328780981284775,"Merri-bek"
"216","Aspendale",0.00103950103950104,0.000536480686695279,0.00057372346528973,"Kingston (Vic.)"
"217","North Williamstown",0.723552894211577,0.71523178807947,0.735534857465425,"Hobsons Bay"
"218","Alamein",0.0812149224166391,0.0845511482254697,0.0910808767951625,"Boroondara"
"219","Mooroolbark",0,0,0,"Yarra Ranges"
"220","Croydon",0.0140066347217103,0.0104471374843293,0.00874125874125874,"Maroondah"
"221","Mordialloc",0.0337790288529205,0.00549234994115339,0.00411861614497529,"Kingston (Vic.)"
"222","Gardenvale",0.124089490114464,0.106857614982099,0.106283029947152,"Bayside (Vic.)"
